Image,Caption,Time,Date,location,Address,contact_tags,holidays,birthdays
0001.jpg,a woman holds a sign in front of a fence in front of a building
0002.jpg,a person standing on a tile floor
0003.jpg,a garden with plants growing on the side of a building
0004.jpg,a painting of people on horses in a museum
0005.jpg,a group of people walking in the city at sunset
0006.jpg,a man and a woman laying on a bed
0007.jpg,two men sitting at a table
0008.jpg,a person holding a spoon with a dessert in it
0009.jpg,a poster on a table
0010.jpg,a 3d printed object is sitting on top of a table
0011.jpg,a person holding a receipt on a table
0012.jpg,a large circular light fixture hanging from the ceiling
0013.jpg,a man is sleeping on a chair while another man is sitting on a chair
0014.jpg,a circuit board with wires connected to it
0015.jpg,a man is giving a presentation on a screen
0016.jpg,a black umbrella laying on a table
0017.jpg,a robot with wheels and electronics on a table
0018.jpg,a red toy machine sitting on top of a table
0019.jpg,a sunset view from the balcony of a house
0020.jpg,a yellow frog sitting on a ledge
0021.jpg,a man wearing a hat on a bus
0022.jpg,a computer screen with a list of numbers on it
0023.jpg,a plate with some food on it and some bowls
0024.jpg,a computer monitor with a mouse and keyboard on it
0025.jpg,a laptop with a screen showing a clock
0026.jpg,a person wearing blue and pink sneakers on a bed
0027.jpg,a box containing a white and black box
0028.jpg,a stuffed animal sitting on a desk
0029.jpg,a computer monitor with a screen showing a screen
0030.jpg,a doll in a box on a desk
0031.jpg,a menu for a restaurant
0032.jpg,certificate of merit for the year 2018
0033.jpg,a chair with a pink cover
0034.jpg,a bowl of fries and a bowl of ketchup
0035.jpg,a painting of a man in a suit and tie
0036.jpg,hp pavilion dv6-1020us laptop
0037.jpg,a person walking down a street at night
0038.jpg,a computer screen with a programming language on it
0039.jpg,a woman sitting on a chair with a box of pills next to her
0040.jpg,a bird nest is hanging from the ceiling of a house
0041.jpg,a receipt that is being held by a person
0042.jpg,a computer screen showing a diagram of a tool
0043.jpg,a plate of food on a table
0044.jpg,a man in a black shirt and jeans standing in an elevator
0045.jpg,a large circular glass window
0046.jpg,a motorcycle parked in front of a building
0047.jpg,people standing in front of a large sign that says vw22
0048.jpg,a keyboard and mouse sitting on top of a box
0049.jpg,nighttime shot of a park with a playground and a playground swing
0050.jpg,a woman and a child standing on a hill overlooking a city
0051.jpg,a car parked on the side of a road at night,20:45:35,05 August 2022,"23.17338888888889, 72.64654722222222","BAPS Swaminarayan Vidyamandir Raysan, Randesan Road, Gandhinagar, Gandhinagar Taluka, Gandhinagar District, Gujarat, 382007, India",None,None,None
0052.jpg,a computer keyboard sitting on top of a brown couch,16:58:23,11 August 2022,"23.173419444444445, 72.64650555555556","BAPS Swaminarayan Vidyamandir Raysan, Randesan Road, Gandhinagar, Gandhinagar Taluka, Gandhinagar District, Gujarat, 382007, India",None,None,None
0053.jpg,a laptop computer sitting on top of a wooden desk,11:36:21,14 August 2022,"21.128030555555554, 81.76399722222222","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0054.jpg,a black and white checkered floor in a courtyard,23:08:32,14 August 2022,"21.127855555555556, 81.76414444444444","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0055.jpg,a group of people sitting in front of a whiteboard,15:02:20,16 August 2022,"21.128466666666668, 81.76605833333333","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0056.jpg,a wooden table topped with bowls of food,15:54:22,19 August 2022,"21.243494444444444, 81.63539444444446","Raipur, Raipur Tahsil, Raipur District, Chhattisgarh, 493332, India",None,None,None
0057.jpg,a blue drink sitting on top of a wooden table,16:38:28,19 August 2022,"21.243519444444445, 81.63538055555556","Raipur, Raipur Tahsil, Raipur District, Chhattisgarh, 493332, India",None,None,None
0058.jpg,a chocolate cake sitting on top of a table,16:47:22,19 August 2022,"21.243475, 81.63537222222223","Raipur, Raipur Tahsil, Raipur District, Chhattisgarh, 493332, India",None,None,None
0059.jpg,a man standing in a mall holding a cell phone,18:42:38,19 August 2022,"21.239552777777778, 81.68387777777778","Magneto The Mall, NH53, Raipur, Raipur Tahsil, Raipur District, Chhattisgarh, 492001, India",None,None,None
0060.jpg,a classroom with blue chairs and a projector screen,13:54:05,23 August 2022,"21.128466666666668, 81.76609166666667","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0061.jpg,a walkway in a park at night with a building in the background,20:01:12,28 August 2022,"21.128280555555556, 81.76516666666667","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0062.jpg,a fountain with green lights in the middle of a park,20:12:31,28 August 2022,"21.127980555555556, 81.7662611111111","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0063.jpg,a bunch of eggs sitting on top of an orange crate,10:45:13,30 August 2022,"21.127808333333334, 81.76392222222222","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0064.jpg,a group of people standing on the side of a road,18:28:55,30 August 2022,"21.1281, 81.76630555555556","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0065.jpg,two men standing in front of a white building,18:34:10,30 August 2022,"21.128341666666667, 81.766575","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0066.jpg,a large crystal chandelier in a building,20:55:34,02 September 2022,"21.248983333333335, 81.662225","TV Tower Road, OSM Studio, Raipur, Raipur Tahsil, Raipur District, Chhattisgarh, 492001, India",None,None,None
0067.jpg,a group of people standing on a subway,21:31:47,02 September 2022,"21.23866388888889, 81.6770138888889","NH53, Raipur, Raipur Tahsil, Raipur District, Chhattisgarh, 493332, India",None,None,None
0068.jpg,a group of people sitting in front of a large screen,20:30:21,03 September 2022,"21.128322222222224, 81.7652138888889","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0069.jpg,a laptop computer sitting on top of a wooden desk,23:22:33,05 September 2022,"21.128016666666667, 81.76408055555555","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0070.jpg,"a desk with a laptop, keyboard, mouse and mouse pad",23:25:07,05 September 2022,"21.12801111111111, 81.76408611111111","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0071.jpg,a cardboard box with a face drawn on it,14:32:46,10 September 2022,"21.12801388888889, 81.76406944444444","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0072.jpg,a gym equipment stand in an empty room,19:57:12,13 October 2022,"21.12775, 81.76413333333333","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0073.jpg,a green tree sitting next to a sidewalk,21:27:09,14 October 2022,"21.12745277777778, 81.76603055555556","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0074.jpg,a city street at night with people walking on the sidewalk,18:19:45,15 October 2022,"21.274638888888887, 81.68751111111112","Raipur, Raipur Tahsil, Raipur District, Chhattisgarh, 493332, India",None,None,None
0075.jpg,a building with a clock tower at night,18:21:46,15 October 2022,"21.27485, 81.68753333333333","अम्बुजा सिटी मॉल, vidhan sabha roaD, Raipur, Raipur Tahsil, Raipur District, Chhattisgarh, 492007, India",None,None,None
0076.jpg,a long hallway with a sign hanging from the ceiling,18:38:04,15 October 2022,"21.275858333333332, 81.68773888888889","अम्बुजा सिटी मॉल, vidhan sabha roaD, Raipur, Raipur Tahsil, Raipur District, Chhattisgarh, 492007, India",None,None,None
0077.jpg,a pair of nike air force sneakers lit up in the dark,19:36:40,15 October 2022,"21.27586388888889, 81.68771666666667","अम्बुजा सिटी मॉल, vidhan sabha roaD, Raipur, Raipur Tahsil, Raipur District, Chhattisgarh, 492007, India",None,None,None
0078.jpg,a man sitting on a bed in a room,00:14:58,18 October 2022,None,None,None,None,None
0079.jpg,a colorful rangoli on a tiled floor with lit candles,19:17:43,24 October 2022,"23.173402777777778, 72.64653055555556","BAPS Swaminarayan Vidyamandir Raysan, Randesan Road, Gandhinagar, Gandhinagar Taluka, Gandhinagar District, Gujarat, 382007, India",None,None,None
0080.jpg,a group of people sitting on top of a cement wall,10:59:55,29 October 2022,"23.18202777777778, 72.65491944444445","Aawaass Road, Gandhinagar Taluka, Gandhinagar District, Gujarat, 382007, India",None,None,None
0081.jpg,a large blue and white airplane sitting on top of an airport tarmac,15:26:03,31 October 2022,"23.069858333333332, 72.61988333333332","APRON 1, Domestic Airport Road, Ambavadi / kubernagar, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India",None,None,None
0082.jpg,a street lined with lots of colorful lights,23:24:10,04 November 2022,"21.1286, 81.76550555555555","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0083.jpg,a couple of people that are standing in the grass,14:19:50,05 November 2022,"21.12934166666667, 81.76639444444444","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0084.jpg,a large crowd of people watching a concert,21:21:38,05 November 2022,"21.129175, 81.76563333333333","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0085.jpg,a close up of a person's id card on a table,10:35:53,15 December 2022,"23.173422222222225, 72.6464888888889","BAPS Swaminarayan Vidyamandir Raysan, Randesan Road, Gandhinagar, Gandhinagar Taluka, Gandhinagar District, Gujarat, 382007, India",None,None,None
0086.jpg,a blue business card with a picture of a bear on it,10:36:01,15 December 2022,"23.173422222222225, 72.6464888888889","BAPS Swaminarayan Vidyamandir Raysan, Randesan Road, Gandhinagar, Gandhinagar Taluka, Gandhinagar District, Gujarat, 382007, India",None,None,None
0087.jpg,a building lit up at night with a street sign,18:30:00,02 January 2023,"21.127716666666668, 81.76484444444445","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0088.jpg,a large indoor trampoline park with lots of trampoline,21:24:25,14 January 2023,None,None,None,None,None
0089.jpg,a man laying on a chair in a room,02:53:04,17 February 2023,None,None,None,None,None
0090.jpg,a movie theater with red chairs and a large screen,17:15:24,18 February 2023,None,None,None,None,None
0091.jpg,three cups of coffee on a tray on a table,21:02:53,28 February 2023,"21.23871111111111, 81.67904444444444","Raipur, Raipur Tahsil, Raipur District, Chhattisgarh, 493332, India",None,None,None
0092.jpg,a bunch of posters hanging on a wall,15:57:45,02 April 2023,"21.127980555555556, 81.763975","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0093.jpg,a laptop with a hard drive and a hard drive,12:38:39,08 May 2023,"21.127969444444446, 81.76406388888888","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
0094.jpg,a crowd of people watching a baseball game,18:41:35,26 May 2023,"23.091341666666665, 72.59691944444444","Motera Stadium Exit Road, Sabarmati, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India",None,None,None
0095.jpg,a crowd of people watching a baseball game,21:59:06,26 May 2023,"23.09135, 72.59619444444444","Narendra Modi Stadium, Motera Stadium Entry Road, Sabarmati, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India",None,None,None
0096.jpg,a view of a city from a cable car,14:33:15,31 May 2023,"31.102069444444446, 77.1822138888889","Mall Road Area, Shimla (urban), Shimla District, Himachal Pradesh, 171001, India",None,None,None
0097.jpg,a large statue of a man standing next to a tree,14:44:23,31 May 2023,"31.101036111111114, 77.18348888888889","Ridge Sanjauli Road, Mall Road Area, Shimla (urban), Shimla District, Himachal Pradesh, 171006, India",None,None,None
0098.jpg,a bunch of white and yellow flowers in a field,13:44:22,01 June 2023,"31.094894444444442, 77.27530277777778","Kufri, NH5, Kharaban, Galu, Theog, Shimla District, Himachal Pradesh, 171209, India",None,None,None
0099.jpg,a man sitting on a rock next to a river,16:44:38,03 June 2023,"32.257286111111114, 77.18701666666666","Manali-Leh, Bhajogi, Koshla, Vashisht, Manali, Kullu District, Himachal Pradesh, 175131, India",None,None,None
0100.jpg,a black and white dog sitting on a rock by a river,16:47:30,03 June 2023,"32.25726111111111, 77.18705277777778","Manali-Leh, Bhajogi, Koshla, Vashisht, Manali, Kullu District, Himachal Pradesh, 175131, India",None,None,None
0101.jpg,a close up of a person's feet in the water,14:43:15,08 July 2015,None,None,None,None,None
0102.jpg,two buses parked in front of a building,None,None,None,None,None,None,None
0103.jpg,a red chair sitting in front of a projector screen,10:22:30,21 March 2022,"21.128419861111112, 81.76628875","International Institute Of Information Technology Naya Raipur, Uparwara, naya raipur, 493661, Uparwara, naya raipur, Raipur, Chhattisgarh, India",None,None,None
0104.jpg,a man in a pink shirt writing on a piece of paper,16:46:31,23 March 2022,"21.128431305555555, 81.76629636111112","International Institute Of Information Technology Naya Raipur, Uparwara, naya raipur, 493661, Uparwara, naya raipur, Raipur, Chhattisgarh, India",None,None,None
0105.jpg,a group of people sitting in a room,10:22:14,26 January 2023,None,None,None,None,None
0106.jpg,a tall building with a clock on the side of it,16:12:57,08 July 2015,None,None,None,None,None
0107.jpg,a man standing in a room with a window,15:43:51,29 May 2022,"21.1280155, 81.76405333333334","International Institute Of Information Technology Naya Raipur, Uparwara, naya raipur, 493661, Uparwara, naya raipur, Raipur, Chhattisgarh, India",None,None,None
0108.jpg,a table topped with a vase filled with flowers,14:14:07,20 January 2016,None,None,None,None,None
0109.jpg,a person holding a indian currency note in their hand,08:33:44,13 November 2016,"27.180414194444445, 77.98823919444445","Shakya Nursing and Maternity Home, shree krishna gaushala road, 282002, shree krishna gaushala road, Agra, Uttar Pradesh, India",None,None,None
0110.png,a desk with a laptop and a water bottle on it,None,None,None,None,None,None,None
0111.png,a group of young men playing a game of soccer,None,None,None,None,None,None,None
0112.jpg,a group of people standing on top of a stage,None,None,None,None,None,None,None
0113.jpg,a white dog laying on the ground with a leash,07:26:41,27 July 2014,None,None,None,None,None
0114.jpg,a table with a bunch of different items on it,14:17:04,20 January 2016,None,None,None,None,None
0115.jpg,a tall building with a red dome on top of it,14:00:02,08 July 2015,None,None,None,None,None
0116.jpg,a group of people posing for a picture,19:41:48,08 May 2022,None,None,None,None,None
0117.jpg,a large shoe shaped building with a bell on top,15:53:20,08 July 2015,None,None,None,None,None
0118.jpg,a group of people standing next to a train,15:26:44,11 December 2022,None,None,None,None,None
0119.png,a group of men standing in front of a building,None,None,None,None,None,None,None
0120.jpg,a view of a mountain in the distance with buildings in the foreground,14:16:24,07 July 2015,None,None,None,None,None
0121.png,a man sitting on a bed holding a jar of liquid,None,None,None,None,None,None,None
0122.jpg,a big screen in a room with a lot of people,17:55:38,16 December 2021,"21.128385527777777, 81.76532744444444","International Institute Of Information Technology Naya Raipur, Uparwara, naya raipur, 493661, Uparwara, naya raipur, Raipur, Chhattisgarh, India",None,None,None
0123.jpg,a person wearing a tie and a mask,13:51:53,07 April 2016,None,None,None,None,None
0124.jpg,a group of people talking on a cell phone,None,None,None,None,None,None,None
0125.jpg,an indian currency note laying on top of a bed,08:34:07,13 November 2016,"27.180287583333335, 77.9883141388889","speed color lab, Soron Katra Shahganj, 282010, Soron Katra Shahganj, Agra, Uttar Pradesh, India",None,None,None
0126.jpg,a train traveling down train tracks next to a forest,08:48:10,24 April 2016,None,None,None,None,None
0127.jpg,a man standing in the doorway of a yellow building,15:52:38,08 July 2015,None,None,None,None,None
0128.jpg,a man in a red shirt sitting on a plane,10:19:42,20 March 2023,None,None,None,None,None
0129.jpg,a yellow umbrella sitting on the side of a road,20:12:23,11 September 2022,None,None,None,None,None
0130.jpg,a group of people waiting to board a train,15:32:08,11 December 2022,None,None,None,None,None
0131.jpg,a man standing in front of a projector screen,11:32:53,14 June 2022,None,None,None,None,None
0132.jpg,a baby doll in a box on a desk,16:08:13,06 November 2022,None,None,None,None,None
0133.jpg,a large body of water with a city in the background,14:20:36,08 July 2015,None,None,None,None,None
0134.jpg,a group of men standing around a table making dough,21:44:30,16 September 2022,None,None,None,None,None
0135.png,two men playing soccer on a field at night,None,None,None,None,None,None,None
0136.jpg,a view of the sky from an airplane window,11:24:27,20 March 2023,None,None,None,None,None
0137.jpg,a man is giving a presentation in front of a projector screen,14:17:49,31 December 2021,"21.128524777777777, 81.7663116388889","International Institute Of Information Technology Naya Raipur, Uparwara, naya raipur, 493661, Uparwara, naya raipur, Raipur, Chhattisgarh, India",None,None,None
0138.jpg,a chocolate cake with white frosting on a table,19:59:49,21 November 2016,"27.18046288888889, 77.98814786111112","Shakya Nursing and Maternity Home, shree krishna gaushala road, 282002, shree krishna gaushala road, Agra, Uttar Pradesh, India",None,None,None
0139.jpg,a group of people sitting at a table in a restaurant,16:28:22,04 February 2023,None,None,None,None,None
0140.jpg,a man taking a selfie in a park,06:27:18,28 March 2022,"21.129108416666668, 81.76492308333333","International Institute Of Information Technology Naya Raipur, Uparwara, naya raipur, 493661, Uparwara, naya raipur, Raipur, Chhattisgarh, India",None,None,None
0141.jpg,a full moon shines brightly in the dark sky,21:01:58,14 November 2016,None,None,None,None,None
0142.jpg,a man giving a lecture in front of a projector screen,17:22:16,29 December 2021,"21.128524777777777, 81.76631925","International Institute Of Information Technology Naya Raipur, Uparwara, naya raipur, 493661, Uparwara, naya raipur, Raipur, Chhattisgarh, India",None,None,None
0143.jpg,a wooden desk with a drawer on top of it,20:47:52,17 October 2022,None,None,None,None,None
0144.jpg,a tall tower sitting on top of a body of water,14:03:02,08 July 2015,None,None,None,None,None
0145.png,a group of people sitting in a room with red chairs,None,None,None,None,None,None,None
0146.jpg,two men standing next to each other in a room,23:05:48,29 May 2022,None,None,None,None,None
0147.jpg,a group of men sitting next to each other in a room,22:23:18,29 May 2022,None,None,None,None,None
0148.png,a group of people standing in front of a projector screen,None,None,None,None,None,None,None
0149.jpg,a white plate topped with different types of desserts,16:08:00,04 February 2023,None,None,None,None,None
0150.jpg,a man sitting on a couch cutting a cake,18:00:55,21 November 2021,"27.180362694444444, 77.98818969444444","Shakya Nursing and Maternity Home, shree krishna gaushala road, 282002, shree krishna gaushala road, Agra, Uttar Pradesh, India",None,None,None